Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4h1m0mglKU3oCt3yN4FgWd,"Zo Vrolijk","Herman van Veen Top 100","Herman van Veen",2009-01-01,80973,19,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.884,0.19,2,-20.732,1,0.184,0.935,0.114,0.118,0.819,137.972,4
spotify:track:2NDJAS0IlvK0UswjMzsac5,"Toveren","Nu En Dan - 30 Jaar Herman Van Veen","Herman van Veen",1998-01-01,205813,45,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.806,0.277,2,-15.417,0,0.0342,0.582,0.0000505,0.208,0.814,144.889,4
spotify:track:5rj0KUf0uIJLmMDIbPr5td,"Mengelmoes","Rode Wangen","Herman van Veen",1989-10-01,164706,24,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.659,0.339,6,-13.795,1,0.0392,0.612,0.0592,0.293,0.853,76.996,4
spotify:track:2qOmcSjOQEDIJKosonn75a,"Hypa Hypa","MMXX - Hypa Hypa Edition","Electric Callboy",2021-05-21,213000,63,false,,1970-01-01T00:00:00Z,"metalcore,metal","Century Media",0.499,0.969,4,-4.046,1,0.0551,0.00881,0,0.0671,0.544,76.004,4
spotify:track:1Tg3fyRmqsUO0RL1QWlZeg,"Kontebonke","Alpenzusjes Hitmix (Mixed By Party DJ Rudie Jansen)","De Alpenzusjes",2017-02-03,144000,34,false,,1970-01-01T00:00:00Z,"hollands","Berk Music",0.854,0.955,10,-4.768,1,0.0452,0.0964,0.00000253,0.358,0.974,142.07,4
spotify:track:1ja4311zfLHqUL96poSXfP,"ONE MORE TIME","ONE MORE TIME...","blink-182",2023-10-20,208114,62,false,,1970-01-01T00:00:00Z,"pop punk,punk,rock,skate punk,emo","Columbia",0.628,0.497,2,-5.794,1,0.0271,0.114,0,0.112,0.157,114.704,5
spotify:track:6ffuQ1Xwm3CdpC00TtLKzq,"Mojax","Mojax","Clumdoipethi",2022-09-21,54857,1,false,,1970-01-01T00:00:00Z,"","Independent",0.578,0.00521,10,-25.86,1,0.0394,0.981,0.819,0.103,0.412,69.987,4
spotify:track:2LcmbuYX7tyR4DWy3b273L,"Noodgeval","Betaalbare Romantiek","Goldband",2021-08-13,214383,60,true,,1970-01-01T00:00:00Z,"nederpop,hollands","Goldband",0.856,0.89,2,-6.463,0,0.0627,0.131,0.0143,0.0614,0.77,139.003,4
spotify:track:2EBCns6fk7g0M2X2GDpmUf,"Opzij","De Wonderlijke Avonturen Van Herman Van Veen","Herman van Veen",1979-03-01,195493,43,false,,1970-01-01T00:00:00Z,"nederpop,hollands","Universal Music, a division of Universal International Music BV",0.643,0.415,0,-15.533,0,0.0468,0.971,0.211,0.185,0.681,157.711,4
spotify:track:6Nqf12otIKf73OOmjdqJML,"Feallesh","Feallesh","Woganites",2022-08-10,54857,0,false,,1970-01-01T00:00:00Z,"","Independent",0.596,0.00688,10,-28.008,1,0.0421,0.991,0.924,0.103,0.232,139.836,4
spotify:track:73DaSKdTh5aYvg0DugibeD,"MOUNT","DANCEHALL","The Blaze",2018-09-07,181346,29,false,,1970-01-01T00:00:00Z,"","Columbia",0.513,0.37,5,-12.847,0,0.0372,0.847,0.539,0.106,0.0633,129.992,4
spotify:track:0ofHAoxe9vBkTCp2UQIavz,"Dreams - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,257800,90,false,,1970-01-01T00:00:00Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,4
spotify:track:1xH7LBCKd4kBzD3hiDMJcQ,"Pilfingerdansen - Remix","Sigurds Bjørnetime 2","Sigurd Barrett",2002-01-01,152266,29,false,,1970-01-01T00:00:00Z,"children's music","Universal Music A/S",0.871,0.733,0,-9.484,1,0.0691,0.224,0.143,0.324,0.775,128.981,4
spotify:track:2C2vSufLm1wLq2GjDH3iMh,"Engelbewaarder","Engelbewaarder","Marco Schuitmaker",2022-09-09,196520,37,false,,1970-01-01T00:00:00Z,"hollands,nederpop","Dino Music",0.799,0.919,8,-4.821,1,0.0398,0.112,0,0.105,0.973,130.006,3
