Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tHNih8afCvuqWReZWcpvZ,"Beautiful Place","Beautiful Place","Ricardo Henriquez",2022-11-10,164000,27,false,,1970-01-01T00:00:00Z,"","Horus Music",0.4,0.0317,2,-26.759,1,0.0538,0.995,0.948,0.1,0.142,70.47,3
spotify:track:1n1jtWDAJPYgdppgnFFI5R,"Miracle of Grace","The Road Less Traveled","White As Snow",2023-03-07,96004,24,false,,1970-01-01T00:00:00Z,"","Sound of Grace Records",0.457,0.0642,1,-25.663,1,0.0624,0.992,0.941,0.119,0.184,76.943,4
spotify:track:15BQ7vEDv2LJuh8TxWIhtd,"The Passenger","Lust For Life","Iggy Pop",1977-08-29,283360,73,false,,1970-01-01T00:00:00Z,"proto-punk,glam rock","Virgin Catalog",0.498,0.889,0,-5.413,1,0.0544,0.0937,0.00000162,0.734,0.696,134.882,4
spotify:track:7hO4gx7keVTh1pUUxUDFXs,"Nascondino","Comfortable Shoes","Nederlander",2023-08-29,83336,23,false,,1970-01-01T00:00:00Z,"","Nederlander",0.422,0.029,2,-21.951,1,0.0386,0.991,0.962,0.0984,0.128,93.902,4
spotify:track:5wQnmLuC1W7ATsArWACrgW,"Welcome to the Black Parade","The Black Parade","My Chemical Romance",2006-10-20,311106,81,false,,1970-01-01T00:00:00Z,"emo,pop punk","Reprise",0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,4
spotify:track:5A7xnGCsDz8sXvEz4eqSYx,"It's Time to Sleep","It's Time to Sleep","KannKuma",2023-09-22,65810,1,false,,1970-01-01T00:00:00Z,"","KannKuma",0.397,0.00881,0,-29.556,1,0.187,0.994,0.976,0.101,0.483,213.373,4
spotify:track:6Qz3OGn2QUDcW5iW16XMwk,"Jip, Dit Is Je Verjaardag","(J) Dit Is Je Verjaardag","Cadeautje voor jou",2021-11-12,192092,5,false,,1970-01-01T00:00:00Z,"","Dit Is Je Verjaardag",0.89,0.623,9,-8.603,1,0.0333,0.0928,0,0.0676,0.961,116.993,4
spotify:track:26AYR77170U49cMcXB7aRV,"Feeling This","blink-182","blink-182",2003-11-01,172645,70,true,,1970-01-01T00:00:00Z,"pop punk,punk,rock,skate punk,emo","Geffen",0.411,0.962,4,-5.952,1,0.0917,0.103,0,0.529,0.622,173.143,4
spotify:track:4uB28m7RAflobYpnLMb6A2,"Linoleum","Punk In Drublic","NOFX",1994-07-19,130266,58,false,,1970-01-01T00:00:00Z,"punk,skate punk,ska punk,ska,melodic hardcore,hardcore punk","Epitaph",0.414,0.933,4,-8.699,1,0.0875,0.0000332,0.000559,0.0702,0.436,98.375,4
spotify:track:5r5B0kAkC8B9S0kEPyr8A7,"Hocus Pocus 2010","The Best Of Focus / Hocus Pocus (Incl WC 2010 Version of 'Hocus Pocus')","Focus",2001,163890,21,false,,1970-01-01T00:00:00Z,"progressive rock,nederpop,art rock","Red Bullet",0.384,0.966,9,-4.499,0,0.152,0.000389,0.91,0.322,0.26,180.086,4
spotify:track:6nzQqbYuqHpTehNA1SA5kD,"Een Zee Van Tijd","De Muur","BZB",2003,139960,25,false,,1970-01-01T00:00:00Z,"hollands,nederpop","Suburban Music Group",0.538,0.783,7,-6.107,1,0.0326,0.108,0.00000281,0.0567,0.944,139.25,4
spotify:track:4RvWPyQ5RL0ao9LPZeSouE,"Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,90,false,,1970-01-01T00:00:00Z,"new wave,synthpop","UMC (Universal Music Catalogue)",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
spotify:track:31TsiJGZSkIJ67ZJCFbhzr,"Er Baretto","Cemento","Er Pianista de Tor Bella",2023-06-22,80869,34,false,,1970-01-01T00:00:00Z,"","GemSession Records",0.454,0.0232,0,-24.17,1,0.0931,0.99,0.919,0.126,0.148,130.319,5
spotify:track:0uHrMbMv3c78398pIANDqR,"Europapa","Europapa","Joost",2024-02-29,160218,66,false,,1970-01-01T00:00:00Z,"gabber,europop","Joost Klein",0.706,0.94,11,-4.969,0,0.168,0.173,0.000349,0.228,0.479,160.068,4
spotify:track:2JzNJdQsNmVqKpp7iPYulm,"Houten Brug","De Muur","BZB",2003,191160,17,false,,1970-01-01T00:00:00Z,"hollands,nederpop","Suburban Music Group",0.349,0.817,0,-5.208,1,0.0403,0.108,0,0.178,0.434,120.573,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black","Aftermath","The Rolling Stones",1966-04-15,202266,83,false,,1970-01-01T00:00:00Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,88,false,,1970-01-01T00:00:00Z,"classic rock,yacht rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:6yl8Es1tCYD9WdSkeVLFw4,"You Shook Me All Night Long","Who Made Who","AC/DC",1986-05-24,211206,67,false,,1970-01-01T00:00:00Z,"rock,hard rock,classic rock,rock and roll","Columbia",0.529,0.768,7,-5.51,1,0.0566,0.00224,0.00075,0.297,0.769,127.316,4
spotify:track:2mVUjWQIo1m0uNJ45Kx0BO,"De Bankzitter","Eeuwig Duurt Het Langst","BZB",2000,245680,19,false,,1970-01-01T00:00:00Z,"hollands,nederpop","Suburban Music Group",0.579,0.513,5,-8.175,1,0.0413,0.00725,0.0000703,0.119,0.55,126.003,4
spotify:track:6WGZJMH87oLVf5ArGp7owr,"Ik Ben Kachel - Hardstyle Remix","Ik Ben Kachel (Hardstyle Remix)","OBZ",2021-11-10,151775,44,false,,1970-01-01T00:00:00Z,"hollands","H.O.M.E. (House Of Music & Entertainment)",0.397,0.893,2,-3.846,1,0.0473,0.0173,0.0935,0.116,0.612,150.057,4
spotify:track:3tSi6iFO9yLGIYIqMEgjC9,"I Want You Back","Anthology: Jackson 5","The Jackson 5",2000-01-01,179226,57,false,,1970-01-01T00:00:00Z,"motown,christmas","Motown",0.67,0.584,8,-8.325,1,0.034,0.436,0.006,0.178,0.944,98.185,4
spotify:track:2MfrET7Nc3StKQcGoZKqr9,"21st Century Schizoid Man - Including ""Mirrors""","In The Court Of The Crimson King (Expanded & Remastered Original Album Mix)","King Crimson",1969-10-10,442580,60,false,,1970-01-01T00:00:00Z,"progressive rock,art rock,psychedelic rock","Discipline Global Mobile",0.342,0.701,7,-9.916,0,0.0626,0.000409,0.588,0.197,0.558,139.563,4
