Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7DkN4oeXv2mqyPy0sJNrus,"when we were young","the classic symptoms of a broken spirit","Architects",2022-10-21,193886,60,false,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.438,0.938,3,-3.011,0,0.121,0.0000452,0.00000805,0.325,0.407,169.868,4
spotify:track:1yYE8EyuIV0rrvQ1bA2Fyf,"Happy Song","That's The Spirit","Bring Me The Horizon",2015-09-11,239386,68,true,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.295,0.924,5,-3.407,1,0.0678,0.0000402,0.00462,0.377,0.219,171.941,4
spotify:track:4IixOTCzviJgIigKleiVbo,"Even In Arcadia","Even In Arcadia","Sleep Token",2025-05-09,268369,70,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Sleep Token/RCA Records",0.357,0.253,9,-11.402,0,0.0339,0.787,0.000894,0.352,0.0714,118.014,4
spotify:track:2zmqwtJMpRcdvVq2dMsXsR,"Guillotine","Euthanasia","Stray From The Path",2022-09-09,216693,43,true,,1970-01-01T00:00:00Z,"metalcore,hardcore,melodic hardcore,hardcore punk,mathcore","Epitaph",0.294,0.996,1,-2.242,1,0.354,0.000191,0.00000343,0.342,0.18,126.281,1
spotify:track:6DLaYITCfzaNEAj0ZyGRad,"Curse","The Sky, The Earth & All Between","Architects",2025-02-28,181134,64,false,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.584,0.957,5,-3.164,0,0.105,0.0000101,0.0000335,0.101,0.527,120.001,4
spotify:track:2Ulw4Lgy6ejrSjCj1hB2RF,"Elevator Operator","Elevator Operator","Electric Callboy",2025-01-24,189103,67,false,,1970-01-01T00:00:00Z,"metalcore,metal","Century Media",0.536,0.829,9,-6.767,1,0.0548,0.000642,0.00039,0.121,0.604,145.041,4
spotify:track:0gchQwxmBWj5no8NJ8b2yH,"Sleepwalking","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,230090,74,false,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.4,0.959,2,-3.258,0,0.103,0.000187,0.00000421,0.231,0.339,149.062,4
spotify:track:7yOt7Xn2crUeYeZYjSLhio,"Fuck Them All To Hell","Clockworked","Stray From The Path",2025-05-30,152666,46,true,,1970-01-01T00:00:00Z,"metalcore,hardcore,melodic hardcore,hardcore punk,mathcore","SHARPTONE",0.329,0.978,0,-2.034,1,0.218,0.00886,0,0.203,0.231,106.674,3
spotify:track:0nmqUE4Q1eoCYFURkB1qO6,"Juggernauts","Common Dreads","Enter Shikari",2009-06-12,284053,44,false,,1970-01-01T00:00:00Z,"post-hardcore,metalcore","Ambush Reality Records Ltd",0.416,0.885,5,-3.719,1,0.0673,0.0106,0,0.128,0.296,133.806,4
spotify:track:0GXwlEXCO8qeeeOIYpsR3m,"Rain","Take Me Back To Eden","Sleep Token",2023-05-19,252158,75,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Spinefarm",0.481,0.79,4,-7.133,0,0.0714,0.014,0.00000498,0.708,0.198,145.94,4
spotify:track:1zT3L37xpTH7nvkKXy8RoS,"Solidarity","Common Dreads","Enter Shikari",2009-06-12,195613,39,false,,1970-01-01T00:00:00Z,"post-hardcore,metalcore","Ambush Reality Records Ltd",0.404,0.913,0,-3.748,0,0.0856,0.013,0.000401,0.311,0.289,140.817,4
spotify:track:2n5sAzeWh5LqnV9cGBjgGr,"Steve's Lava Chicken","A Minecraft Movie (Original Motion Picture Soundtrack)","Jack Black",2025-03-28,34400,71,false,,1970-01-01T00:00:00Z,"","WaterTower Music",0.722,0.731,5,-6.88,0,0.113,0.000306,0.0000835,0.0733,0.363,157.629,4
spotify:track:58U3KUbCdpTEoZtGNnQBOa,"Wake The Dead","Wake The Dead","Comeback Kid",2005-02-22,197226,50,false,,1970-01-01T00:00:00Z,"hardcore,melodic hardcore,hardcore punk,metalcore","Victory Records",0.442,0.957,1,-4.025,1,0.0482,0.000232,0.0000187,0.151,0.35,107.472,4
spotify:track:2qOmcSjOQEDIJKosonn75a,"Hypa Hypa","MMXX - Hypa Hypa Edition","Electric Callboy",2021-05-21,213000,63,false,,1970-01-01T00:00:00Z,"metalcore,metal","Century Media",0.499,0.969,4,-4.046,1,0.0551,0.00881,0,0.0671,0.544,76.004,4
spotify:track:7CAbF0By0Fpnbiu6Xn5ZF7,"Kingslayer (feat. BABYMETAL)","POST HUMAN: SURVIVAL HORROR","Bring Me The Horizon;BABYMETAL",2020-10-30,220041,76,true,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore,j-rock","RCA Records Label",0.434,0.929,1,-2.749,1,0.147,0.000207,0.00109,0.0916,0.428,92.541,4
spotify:track:0S38Oso3I9vpDXcTb7kYt9,"The Summoning","Take Me Back To Eden","Sleep Token",2023-05-19,395716,75,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Spinefarm",0.395,0.701,10,-5.471,0,0.0377,0.00148,0.0049,0.05,0.148,172.965,4
spotify:track:1vcxF91pWs9uNwDROuiCPB,"Savior","Appeal To Reason","Rise Against",2008-01-01,242280,78,false,,1970-01-01T00:00:00Z,"punk,hardcore punk","Geffen",0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000139,0.425,0.478,112.488,4
spotify:track:61mWefnWQOLf90gepjOCb3,"Duality","Vol. 3: The Subliminal Verses (Special Edition)","Slipknot",2004,252613,83,false,,1970-01-01T00:00:00Z,"nu metal,metal,alternative metal,rap metal,heavy metal","Roadrunner Records",0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,4
spotify:track:55mJleti2WfWEFNFcBduhc,"Schism","Lateralus","TOOL",2001-05-15,407860,74,false,,1970-01-01T00:00:00Z,"progressive metal,alternative metal,progressive rock,metal","RCA Records Label",0.567,0.714,9,-8.512,0,0.0302,0.0012,0.417,0.186,0.191,107.441,3
spotify:track:2VGQ342iuqj6aSaYbyBQVJ,"Prayer Of The Refugee","The Sufferer & The Witness","Rise Against",2006-01-01,199386,72,false,,1970-01-01T00:00:00Z,"punk,hardcore punk","Geffen",0.198,0.977,3,-3.499,0,0.173,0.00131,0.0000462,0.23,0.351,195.795,4
spotify:track:63GJDO5mxiFP1ZQEpdUWRd,"The Remedy","The Mortal Coil","Polaris",2017-11-03,243913,59,false,,1970-01-01T00:00:00Z,"metalcore,djent,metal,deathcore","SHARPTONE",0.356,0.995,4,-3.366,0,0.172,0.00000326,0.000196,0.403,0.167,183.985,4
spotify:track:0bGImSqDB2ebdeoCidUC8o,"BLACKOUT","GLOW ON","Turnstile",2021-08-27,173279,66,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore","Roadrunner Records",0.301,0.807,6,-6.258,1,0.0695,0.000881,0.112,0.0849,0.595,84.051,4
spotify:track:1tH7fEOpyS6RCHHxglAU9C,"Brain Dead","The Sky, The Earth & All Between","Architects;House of Protection",2025-02-28,168933,55,true,,1970-01-01T00:00:00Z,"metalcore,djent,metal,mathcore,post-hardcore,deathcore","Epitaph",0.388,0.987,1,-2.754,1,0.238,0.0000552,0.00000715,0.198,0.373,160.033,4
spotify:track:1dB0NylVkpjdOe8DiekIs7,"HOLIDAY","GLOW ON","Turnstile",2021-08-27,172020,62,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore","Roadrunner Records",0.537,0.858,10,-7.743,1,0.0428,0.00188,0.658,0.0716,0.323,154.996,4
spotify:track:2ciYYljvXw3vJdWi6hkEfS,"Divide","Vol. 1","The Plot In You",2024-01-12,208834,66,true,,1970-01-01T00:00:00Z,"metalcore","Fearless Records",0.45,0.971,1,-3.892,1,0.32,0.00034,0.000555,0.317,0.488,150,4
spotify:track:6QZWoi81G0nHKn8n1oFtaa,"Pulling Teeth","Pulling Teeth","House of Protection",2024-08-09,200500,46,false,,1970-01-01T00:00:00Z,"metalcore","Red Bull Records",0.542,0.985,7,-3.55,1,0.282,0.000548,0,0.383,0.266,125.016,4
spotify:track:2GPdGwBnFfruzFbJPd7uQS,"Jaws","Jaws","Sleep Token",2018-06-04,355300,69,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Sleep Token",0.635,0.679,8,-8.593,0,0.0515,0.0137,0.000215,0.0708,0.307,138.034,4
spotify:track:4mxiv6HQfhqgIuN5iOONQd,"Granite","Take Me Back To Eden","Sleep Token",2023-05-19,225426,73,false,,1970-01-01T00:00:00Z,"progressive metal,metalcore","Spinefarm",0.635,0.624,2,-7.104,1,0.0304,0.0022,0.0455,0.188,0.336,119.97,4
spotify:track:0W4N0KzHKWQp2Wn1Mf6uMa,"We Got the Moves","TEKKNO","Electric Callboy",2022-09-16,206124,68,true,,1970-01-01T00:00:00Z,"metalcore,metal","Century Media",0.587,0.781,5,-7.602,0,0.055,0.000116,0.0000202,0.102,0.723,149.982,4
spotify:track:7KVIuHxbV5lvBE5Vyiw8FC,"I CARE","NEVER ENOUGH","Turnstile",2025-06-06,233141,66,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore","Roadrunner Records",0.474,0.934,7,-4.898,1,0.0397,0.000459,0.0194,0.268,0.365,168.092,4
spotify:track:68osIGtVjM7QWVe6pazLHj,"Shadow Moses","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,243327,72,true,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.456,0.985,6,-2.949,1,0.207,0.000235,0.00368,0.103,0.183,143.006,4
spotify:track:3tbZL9VsjRlDekb1Wt7m2Q,"Ready To Fall","The Sufferer & The Witness","Rise Against",2006-01-01,227706,56,false,,1970-01-01T00:00:00Z,"punk,hardcore punk","Geffen",0.446,0.985,1,-3.784,0,0.0719,0.0000933,0.000342,0.0787,0.496,128.573,4
spotify:track:75rAjnPV6h0RgSORx2dUPi,"Injection","The Sufferer & The Witness","Rise Against",2006-01-01,199213,62,false,,1970-01-01T00:00:00Z,"punk,hardcore punk","Geffen",0.42,0.995,8,-2.99,0,0.0829,0.000229,0.0000813,0.102,0.427,105.605,4
spotify:track:5O6SumCYk8Ug81UbfXAPJC,"Give It All","Siren Song Of The Counter-Culture","Rise Against",2004-01-01,170893,62,false,,1970-01-01T00:00:00Z,"punk,hardcore punk","Geffen",0.587,0.942,2,-3.167,1,0.0727,0.000354,0.00172,0.0762,0.389,103.061,4
spotify:track:0kshHISCRGn9MwpkbqafG4,"BIRDS","NEVER ENOUGH","Turnstile",2025-06-06,146933,67,false,,1970-01-01T00:00:00Z,"hardcore punk,hardcore","Roadrunner Records",0.415,0.957,0,-4.935,1,0.141,0.00285,0.00418,0.0868,0.0455,119.917,4
spotify:track:2dwhns14pjuxxcM5a0eOow,"I'm Made Of Wax, Larry, What Are You Made Of?","Homesick","A Day To Remember",2009-02-03,180840,65,false,,1970-01-01T00:00:00Z,"metalcore,post-hardcore,pop punk,screamo,emo","Victory Records",0.241,0.97,10,-4.246,0,0.104,0.0000735,0,0.904,0.621,159.93,4
spotify:track:7hntkdvG3jWdFKm7pGCCzd,"The House of Wolves","Sempiternal (Expanded Edition)","Bring Me The Horizon",2013-04-01,205152,62,true,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.425,0.98,8,-2.219,1,0.189,0.000104,0.00000146,0.346,0.279,152,4
spotify:track:7mczLeiFeYKRb7vtiPjuMb,"DArkSide","POST HUMAN: NeX GEn","Bring Me The Horizon",2024-05-24,165357,73,true,,1970-01-01T00:00:00Z,"metalcore,emo,screamo,rock,post-hardcore","RCA Records Label",0.365,0.951,7,-3.034,1,0.181,0.000591,0.00000107,0.716,0.441,83.812,4
